episode_index,task
0,pick up the akita black bowl and place it on the plate in the left region
1,pick up the akita black bowl and place it on the plate in the left region
2,pick up the akita black bowl and place it on the plate in the left region
3,pick up the akita black bowl and place it on the plate in the left region
4,pick up the akita black bowl and place it on the plate in the left region
5,pick up the akita black bowl and place it on the plate in the middle region
6,pick up the akita black bowl and place it on the plate in the middle region
7,pick up the akita black bowl and place it on the plate in the middle region
8,pick up the akita black bowl and place it on the plate in the middle region
9,pick up the akita black bowl and place it on the plate in the middle region
10,pick up the akita black bowl and place it on the plate in the right region
11,pick up the akita black bowl and place it on the plate in the right region
12,pick up the akita black bowl and place it on the plate in the right region
13,pick up the akita black bowl and place it on the plate in the right region
14,pick up the akita black bowl and place it on the plate in the right region
15,pick up the akita black bowl and place it inside the basket in the left region
16,pick up the akita black bowl and place it inside the basket in the left region
17,pick up the akita black bowl and place it inside the basket in the left region
18,pick up the akita black bowl and place it inside the basket in the left region
19,pick up the akita black bowl and place it inside the basket in the left region
20,pick up the akita black bowl and place it inside the basket in the middle region
21,pick up the akita black bowl and place it inside the basket in the middle region
22,pick up the akita black bowl and place it inside the basket in the middle region
23,pick up the akita black bowl and place it inside the basket in the middle region
24,pick up the akita black bowl and place it inside the basket in the middle region
25,pick up the akita black bowl and place it inside the basket in the right region
26,pick up the akita black bowl and place it inside the basket in the right region
27,pick up the akita black bowl and place it inside the basket in the right region
28,pick up the akita black bowl and place it inside the basket in the right region
29,pick up the akita black bowl and place it inside the basket in the right region
30,push the akita black bowl into the left target region
31,push the akita black bowl into the left target region
32,push the akita black bowl into the left target region
33,push the akita black bowl into the left target region
34,push the akita black bowl into the left target region
35,push the akita black bowl into the middle target region
36,push the akita black bowl into the middle target region
37,push the akita black bowl into the middle target region
38,push the akita black bowl into the middle target region
39,push the akita black bowl into the middle target region
40,push the akita black bowl into the right target region
41,push the akita black bowl into the right target region
42,push the akita black bowl into the right target region
43,push the akita black bowl into the right target region
44,push the akita black bowl into the right target region
45,pick up the yellow and white mug and place it on the plate in the left region
46,pick up the yellow and white mug and place it on the plate in the left region
47,pick up the yellow and white mug and place it on the plate in the left region
48,pick up the yellow and white mug and place it on the plate in the left region
49,pick up the yellow and white mug and place it on the plate in the left region
50,pick up the yellow and white mug and place it on the plate in the middle region
51,pick up the yellow and white mug and place it on the plate in the middle region
52,pick up the yellow and white mug and place it on the plate in the middle region
53,pick up the yellow and white mug and place it on the plate in the middle region
54,pick up the yellow and white mug and place it on the plate in the middle region
55,pick up the yellow and white mug and place it on the plate in the right region
56,pick up the yellow and white mug and place it on the plate in the right region
57,pick up the yellow and white mug and place it on the plate in the right region
58,pick up the yellow and white mug and place it on the plate in the right region
59,pick up the yellow and white mug and place it on the plate in the right region
60,pick up the yellow and white mug and place it inside the basket in the left region
61,pick up the yellow and white mug and place it inside the basket in the left region
62,pick up the yellow and white mug and place it inside the basket in the left region
63,pick up the yellow and white mug and place it inside the basket in the left region
64,pick up the yellow and white mug and place it inside the basket in the left region
65,pick up the yellow and white mug and place it inside the basket in the middle region
