task_id,object,skill,spatial_region,tuple
0,mug,pick,left,mug_pick_left
1,mug,pick,right,mug_pick_right
2,mug,pick,front,mug_pick_front
3,mug,pick,back,mug_pick_back
4,mug,place,left,mug_place_left
5,mug,place,right,mug_place_right
6,mug,place,front,mug_place_front
7,mug,place,back,mug_place_back
8,mug,open,left,mug_open_left
9,mug,open,right,mug_open_right
10,mug,open,front,mug_open_front
11,mug,open,back,mug_open_back
12,mug,close,left,mug_close_left
13,mug,close,right,mug_close_right
14,mug,close,front,mug_close_front
15,mug,close,back,mug_close_back
16,bowl,pick,left,bowl_pick_left
17,bowl,pick,right,bowl_pick_right
18,bowl,pick,front,bowl_pick_front
19,bowl,pick,back,bowl_pick_back
20,bowl,place,left,bowl_place_left
21,bowl,place,right,bowl_place_right
22,bowl,place,front,bowl_place_front
23,bowl,place,back,bowl_place_back
24,bowl,open,left,bowl_open_left
25,bowl,open,right,bowl_open_right
26,bowl,open,front,bowl_open_front
27,bowl,open,back,bowl_open_back
28,bowl,close,left,bowl_close_left
29,bowl,close,right,bowl_close_right
30,bowl,close,front,bowl_close_front
31,bowl,close,back,bowl_close_back
32,plate,pick,left,plate_pick_left
33,plate,pick,right,plate_pick_right
34,plate,pick,front,plate_pick_front
35,plate,pick,back,plate_pick_back
36,plate,place,left,plate_place_left
37,plate,place,right,plate_place_right
38,plate,place,front,plate_place_front
39,plate,place,back,plate_place_back
40,plate,open,left,plate_open_left
41,plate,open,right,plate_open_right
42,plate,open,front,plate_open_front
43,plate,open,back,plate_open_back
44,plate,close,left,plate_close_left
45,plate,close,right,plate_close_right
46,plate,close,front,plate_close_front
47,plate,close,back,plate_close_back
48,book,pick,left,book_pick_left
49,book,pick,right,book_pick_right
50,book,pick,front,book_pick_front
51,book,pick,back,book_pick_back
52,book,place,left,book_place_left
53,book,place,right,book_place_right
54,book,place,front,book_place_front
55,book,place,back,book_place_back
56,book,open,left,book_open_left
57,book,open,right,book_open_right
58,book,open,front,book_open_front
59,book,open,back,book_open_back
60,book,close,left,book_close_left
61,book,close,right,book_close_right
62,book,close,front,book_close_front
63,book,close,back,book_close_back
