step,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_min,action_max,action_mean,action_std
0,0.9752011,-0.16511004,-0.8817924,-0.08355533,1.1224349,-0.32360244,0.02292709,-0.881792426109314,1.1224348545074463,0.09521467983722687,0.6616495847702026
1,0.39185143,-0.18521863,-0.46467763,-0.38893604,0.14251402,-0.03546723,-0.11952155,-0.464677631855011,0.39185142517089844,-0.09420794993638992,0.27484479546546936
2,0.8042604,0.3142102,-0.5434001,-0.44990104,1.0109261,0.45266238,-0.40003854,-0.5434001088142395,1.0109261274337769,0.16981704533100128,0.5889819860458374
3,0.049372032,0.4118621,-0.31499174,0.26346168,1.1272627,-0.92346966,-2.0099714,-2.0099713802337646,1.1272627115249634,-0.1994963139295578,0.9430657029151917
4,0.4914212,-0.7779737,-0.9259788,0.09421849,-0.059728585,-0.71287686,0.63957596,-0.9259787797927856,0.6395759582519531,-0.17876318097114563,0.5867801308631897
5,2.082186,0.26389354,-0.9324064,0.4757949,-1.0042416,-0.5046488,-0.33403754,-1.0042415857315063,2.082185983657837,0.006648591719567776,0.991055965423584
6,-0.5130621,-0.22663487,-0.53249633,-0.45839077,-0.11269974,0.07098535,1.3740516,-0.5324963331222534,1.374051570892334,-0.056892428547143936,0.6200658082962036
7,0.6345555,1.6986487,-0.41636303,0.23818392,0.41374812,0.6536885,0.789418,-0.41636303067207336,1.6986486911773682,0.5731257200241089,0.5904626846313477
8,-0.83160895,0.0073362384,0.6704438,0.57617074,0.7939349,-1.4981989,0.9935597,-1.4981988668441772,0.993559718132019,0.10166250169277191,0.8670839071273804
9,0.15191576,0.69933456,0.84517264,-0.9401127,0.18584804,-0.014975671,1.2481854,-0.9401127099990845,1.248185396194458,0.31076687574386597,0.6575901508331299
10,-1.0605254,-0.604668,-0.63867605,-0.6996428,-0.6489879,0.6093147,0.14914545,-1.0605254173278809,0.6093146800994873,-0.41343429684638977,0.5353161096572876
11,1.4877747,0.07121781,0.43096042,-0.4719093,1.57563,0.29542813,0.6137636,-0.4719093143939972,1.5756299495697021,0.5718379020690918,0.6849998831748962
12,-0.11129476,1.4474726,-0.54424363,1.1763264,0.07733793,-0.27130476,1.5051643,-0.5442436337471008,1.5051642656326294,0.4684939980506897,0.8103093504905701
13,0.009757824,0.23777713,-0.9007286,0.43644506,-0.053664908,1.3237153,1.3182895,-0.9007285833358765,1.323715329170227,0.33879876136779785,0.7317227125167847
14,-0.52968657,0.67793775,-0.061254174,-0.10973179,-1.0867703,-0.10570155,-0.25337973,-1.0867702960968018,0.6779377460479736,-0.20979805290699005,0.49342793226242065
15,-0.04644031,1.035057,-0.3756506,-0.30336952,-0.43978453,-0.863595,-2.1520839,-2.1520838737487793,1.0350569486618042,-0.449409544467926,0.8834620118141174
16,-0.9149535,0.39819807,1.3543653,-0.5081754,-0.46540964,0.7694885,0.6653874,-0.9149534702301025,1.354365348815918,0.1855572611093521,0.765197217464447
17,0.28006586,-1.0860999,-0.28562695,0.45257926,0.5052568,1.185985,1.0304062,-1.0860998630523682,1.1859849691390991,0.29750946164131165,0.7219476699829102
18,0.15513083,0.40946883,0.15030529,-0.4091334,-0.11410369,0.4569104,0.025177553,-0.4091334044933319,0.4569104015827179,0.09625082463026047,0.27756163477897644
19,1.0838044,0.07803757,-1.0242903,-1.0152872,-0.57345444,0.8503401,-1.146723,-1.1467230319976807,1.0838043689727783,-0.24965326488018036,0.861171543598175
20,0.13372502,0.13044332,-0.8133445,1.0139936,0.012622467,-1.0868269,0.8664127,-1.0868269205093384,1.0139936208724976,0.03671795874834061,0.7218226790428162
21,1.400753,-1.1069181,1.891231,-0.41296157,-1.0572981,1.3336337,0.8755134,-1.1069180965423584,1.8912309408187866,0.4177075922489166,1.1573548316955566
22,2.1142762,-1.4588709,-1.2679049,1.4789146,-0.5494454,-0.50259036,0.15672386,-1.4588708877563477,2.114276170730591,-0.004128124099224806,1.2519795894622803
23,-0.21044,-0.14248565,-0.048897933,2.4623196,-1.2964889,-0.3813684,0.23608467,-1.296488881111145,2.4623196125030518,0.0883890762925148,1.066192626953125
